SMILES,Density
O=N(=O)N1C=CC(=N1)N(=O)=O,1.826
O=N(=O)C(=C1/NC2OCCOC2N1)\N(=O)=O,1.796
O=N(=O)C1=CC(=C(C=C1)N(=O)=O)N(=O)=O,1.793
O=C1N(CON(=O)=O)C2=NC3=NON=C3N=C2N1CON(=O)=O,1.79
ClC1=CC(Cl)=C(C=C1Cl)N(=O)=O,1.791
CC1=NC(=CN1C1=CC=C(Br)C=C1)N(=O)=O,1.838
O=C1NC=C(C(=O)N1)N(=O)=O,1.79
FC(COC(=O)OCC(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.79
CN(CN(CC(F)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.789
O=N(=O)C1=NN(NC2=NN3C=NN=C3N=N2)C=N1,1.835
OC1=CC(O)=C(C=C1N(=O)=O)N(=O)=O,1.786
O=C(CON(=O)=O)CON(=O)=O,1.815
CC1=NON=C1N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.833
OC(=O)C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.785
O=NN(=O)=O,1.835
O=N(=O)C1=NON=C1C1=NON=C1C1=NON=C1N(=O)=O,1.782
O=C(NN(=O)=O)OCC(COC(=O)NN(=O)=O)(N(=O)=O)N(=O)=O,1.829
O=N(=O)C1=C(N=CN1)N(=O)=O,1.781
O=N(=O)OCC1=NN(C(CON(=O)=O)=N1)N(=O)=O,1.78
O=N(=O)OC(COC1=CC=C(C=C1N(=O)=O)N(=O)=O)CN=N#N,1.78
[H][C@]12CN(CN(N(=O)=O)[C@@]1([H])CN(CN2N(=O)=O)N(=O)=O)N(=O)=O,1.78
O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,1.778
CN(CN1N=C(N=C1N(=O)=O)N(=O)=O)N(=O)=O,1.808
O=N(=O)N1COCC(C1)(N(=O)=O)N(=O)=O,1.778
FC1=NC(F)=C(F)C(OC2=CC=C(C=C2)N(=O)=O)=C1F,1.819
O=N(=O)C1=CNC=C1N(=O)=O,1.774
O=N(=O)C1=C(N=N#N)C(=C2N=NNC2=C1)N(=O)=O,1.774
FC(CCNC(=O)C(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.773
NC1=NN=C(O1)C1=NON=C1NN(=O)=O,1.77
NC1=NC(=NN1C1=NNN=N1)N(=O)=O,1.77
O=N(=O)CN1C=NC(=C1N(=O)=O)N(=O)=O,1.77
OC1=C(C=NC2=CC(=CC=C2)N(=O)=O)C=C(Br)C(F)=C1,1.771
NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.77
CN(CN(C(=O)OCC(F)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.77
CN1C(=NC(=C1N(=O)=O)N(=O)=O)N(=O)=O,1.768
CN(CN1C=NC(=C1N(=O)=O)N(=O)=O)N(=O)=O,1.797
OCCN1C(C=CC2=C(F)C=CC=C2)=NC=C1N(=O)=O,1.767
NC(=O)C1=N(=O)ON=C1N1N=C(C(C(N)=O)=N1=O)N(=O)=O,1.809
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.764
CC1=NON=C1C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.806
O=C(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)N=N#N,1.811
NC1=C(N(CN(=O)=O)N=C1N(=O)=O)N(=O)=O,1.763
O=N(=O)C1=NON=C1NC1=NN2C=NN=C2N=N1,1.76
NN1N=C(C(=C1C1=C(C(=NN1N)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.76
ClC1=C(N=CN1NCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.76
CC1=N(=O)ON=C1C1=NON(=O)=C1N(=O)=O,1.803
NC(NC1=NN=C(NC(N)=NN(=O)=O)N=N1)=NN(=O)=O,1.76
N\C(N)=N/N(=O)=O,1.76
O=N(=O)\N=C1\N(N=NC1=N#N)C1=CC=C(C=C1)N(=O)=O,1.762
NC1=NC(CN2N=C(C(=C2N(=O)=O)N(=O)=O)N(=O)=O)=NO1,1.757
O=N(=O)C1=NN(CN2N=C(C=C2N(=O)=O)N(=O)=O)C(=C1)N(=O)=O,1.786
CN1N=NN\C1=N/N(=O)=O,1.803
NC1=C(C=C(C=C1)N(=O)=O)C(F)(F)F,1.79
O=N(=O)NCC(CNN(=O)=O)NN(=O)=O,1.754
OC1C2=CC(=CC=C2OC1(F)F)N(=O)=O,1.799
NC(=O)OCCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.782
NC1=CC(=C(C=C1)N(=O)=O)C(F)(F)F,1.788
ClC(Cl)(Cl)C1C(OC2=C1C(=O)CCC2)N(=O)=O,1.752
O=N(=O)C1=CNN=C1C(N(=O)=O)(N(=O)=O)N(=O)=O,1.75
NN1C(=CN=C1C1=NC=C(N1N)N(=O)=O)N(=O)=O,1.75
ClC1=C(N(CC#N)N=C1N(=O)=O)N(=O)=O,1.75
O=N(=O)NCCNN(=O)=O,1.75
O=N(=O)C1=CC2=C(C(=CC=C2)N(=O)=O)C(=C1)N(=O)=O,1.75
CC(=O)N(C(C)=O)C1=C(Br)C=C(C=C1Cl)N(=O)=O,1.749
OOC(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.796
O=N(=O)C1=CN(CC2=C(C=C(C=C2)N(=O)=O)N(=O)=O)N=N1,1.796
NC1=NN=C(O1)C1=NON=C1N(=O)=O,1.748
FC1=CC(=CC2=N(=O)ON=C12)N(=O)=O,1.748
CC(OC(N)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.776
O=N(=O)C1=CC(=C(N=N#N)C(=C1N=N#N)N(=O)=O)N(=O)=O,1.782
BrC1=CC=C(OC2=CC=C(C=C2)N(=O)=O)C=C1,1.794
ClC1=CC(Cl)=C(C(=C1)N(=O)=O)N(=O)=O,1.749
CC(COC(=O)NN(=O)=O)(N(=O)=O)N(=O)=O,1.775
ClC1=CC=C(C=C1)C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.786
NC1=CC(=C(N)C(=C1)N(=O)=O)N(=O)=O,1.772
CN1N=C(C(N=N#N)=C1N(=O)=O)N(=O)=O,1.74
CN(C1=C(NN=C1N(=O)=O)N(=O)=O)N(=O)=O,1.74
OC1=C(C=C(Cl)C=C1N(=O)=O)N(=O)=O,1.741
OC(=O)C1=C(C(O)=O)C(=CC=C1)N(=O)=O,1.783
FC(F)(F)C(F)(F)CNC(=O)CN1C=CN=C1N(=O)=O,1.74
CN(CN(C1=NON=C1N(=O)=O)N(=O)=O)N(=O)=O,1.74
CC1=C(Cl)[C@H](N(=O)=O)[C@](C)(O)C(=O)[C@]1(Cl)N(=O)=O,1.74
NC1=CC(=C(Cl)C=C1Cl)N(=O)=O,1.739
FC(F)(COC(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O)N(=O)=O,1.739
BrC1=CC=C(OC(=O)C2=CC=C(C=C2)N(=O)=O)C=C1,1.774
O=N(=O)C12C3C4C1C1(C4C3(C21)N(=O)=O)N(=O)=O,1.738
NC(=O)C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.737
O=C1N(N(=O)=O)C23C4C5C6C4C2(C6C35)N1N(=O)=O,1.736
FN(F)C(CC(N(F)F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.736
CN(CN1C=C(N=C1N(=O)=O)N(=O)=O)N(=O)=O,1.765
O=C(CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N=N#N,1.764
CN(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.731
CN=N(=O)C1=NON=C1NN(=O)=O,1.73
NC1=C(N2C=NC=N2)C(N)=C(C(N)=C1N(=O)=O)N(=O)=O,1.73
NC1=C(C(N)=C(C(N2C=NC=N2)=C1N1C=NC=N1)N(=O)=O)N(=O)=O,1.73
O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.757
O=N(=O)NCNN(=O)=O,1.729
ClC(=O)CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.758
NC(=O)C1=CC(=C(N)C(=C1)N(=O)=O)N(=O)=O,1.771
O=C1N(C(=O)C2=C1C=CC=C2)N(=O)=O,1.776
COC1=NC(=NC(OC)=N1)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.763
ClC1=CN=C(C=C1)N(=O)=O,1.768
O=N(=O)C1CN(CN(C1)N(=O)=O)N(=O)=O,1.726
OC(=O)C1=CC(=C(Cl)C=C1)N(=O)=O,1.725
NN1N=NC(=C1N)N(=O)=O,1.759
COC1=NC=CN=C1C(N(=O)=O)(N(=O)=O)N(=O)=O,1.767
NN1C=C(N=N1)N(=O)=O,1.757
NN1C=NC(=C1N(=O)=O)N(=O)=O,1.72
CN(C1=C(N(N)N=C1N(=O)=O)N(=O)=O)N(=O)=O,1.72
OC(=O)C1=CC=C(O1)N(=O)=O,1.739
O=N(=O)C1=NNC=N1,1.767
OC(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.768
O=N(=O)N(CN=N#N)CN(CN(CN=N#N)N(=O)=O)N(=O)=O,1.72
O=N(=O)C1(CCC(CC1)(N(=O)=O)N(=O)=O)N(=O)=O,1.72
NC(=N)N1N=C(N)C(=C1N)N(=O)=O,1.72
CC(CN(CC(C)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.72
FC1=C(F)C(F)=C([C@H]2O[C@@H]2C2=CC=CC=C2N(=O)=O)C(F)=C1F,1.72
CC1=CC(=CC(C)=C1O)C1=NC=C(C=C1Br)N(=O)=O,1.761
CN1N=C(C(C#N)=C1N(=O)=O)N(=O)=O,1.766
ClC1=CC(=CC(Cl)=C1)N(=O)=O,1.716
BrC1=CC=C(C=C1)C1=CC=C(C=C1)N(=O)=O,1.72
CC1=N(=O)ON=C1C=NN1N=NNC1=NN(=O)=O,1.714
ClC(N(=O)=O)C(Cl)(Cl)N(=O)=O,1.708
ClC1=CC(=C(Cl)C(=C1)N(=O)=O)N(=O)=O,1.712
CC1=NC(=NO1)C1=NON=C1NCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.71
O=N(=O)C1=NON(=O)=C1N(=O)=O,1.711
O=N(=O)C1=CN=C(N2C=NC(N=N#N)=N2)C(=C1)N(=O)=O,1.71
NC1=NN=NN1CC1=NNC(NN(=O)=O)=N1,1.708
NC(=O)OCC(COC(N)=O)(N(=O)=O)N(=O)=O,1.738
O=N(=O)C1=CC(=CN1)N(=O)=O,1.755
O=NN1CN(CCN(C1)N(=O)=O)N(=O)=O,1.707
FC1=C(C=C(C=C1N(=O)=O)N1C=CN=N1)C(F)(F)F,1.707
OC1=CC=C(Cl)C=C1C(=O)NC1=C(Cl)C=C(C=C1)N(=O)=O,1.706
OC(O)(C1=CC=C(C=C1)N(=O)=O)C(F)(F)F,1.706
O\N=C1CCCC(Br)=C/1C(O)C1=CC=C(C=C1)N(=O)=O,1.728
CN1C=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O,1.752
CN(CN1C=C(C(=N1)N(=O)=O)N(=O)=O)N(=O)=O,1.733
